spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
zedd,the middle,zedd,the middle,True,31273.0,3379,100.0,100.0,100.0
'til tuesday,voices carry,'til tuesday,voices carry,True,31.0,0,100.0,100.0,100.0
ynw melly,murder on my mind,ynw melly,murder on my mind,True,30972.0,3357,100.0,100.0,100.0
ying yang twins,salt shaker,ying yang twins,salt shaker,True,30960.0,3356,100.0,100.0,100.0
yes,owner of a lonely heart,yes,owner of a lonely heart,True,30938.0,3353,100.0,100.0,100.0
xxxtentacion,sad!,xxxtentacion,sad!,True,30878.0,3348,100.0,100.0,100.0
xxxtentacion,moonlight,xxxtentacion,moonlight,True,30874.0,3347,100.0,100.0,100.0
50 cent,just a lil bit,50 cent,just a lil bit,True,253.0,30,100.0,100.0,100.0
50 cent,in da club,50 cent,in da club,True,252.0,29,100.0,100.0,100.0
50 cent,disco inferno,50 cent,disco inferno,True,246.0,27,100.0,100.0,100.0
50 cent,candy shop,50 cent,candy shop,True,245.0,26,100.0,100.0,100.0
5 seconds of summer,youngblood,5 seconds of summer,youngblood,True,239.0,25,100.0,100.0,100.0
3 doors down,kryptonite,3 doors down,kryptonite,True,179.0,22,100.0,100.0,100.0
wyclef jean,gone till november,wyclef jean,gone till november,True,30833.0,3344,100.0,100.0,100.0
wiz khalifa,see you again,wiz khalifa,see you again,True,30814.0,3338,100.0,100.0,100.0
wiz khalifa,black and yellow,wiz khalifa,black and yellow,True,30805.0,3337,100.0,100.0,100.0
wings,with a little luck,wings,with a little luck,True,30795.0,3336,100.0,100.0,100.0
wilson phillips,you're in love,wilson phillips,you're in love,True,30732.0,3332,100.0,100.0,100.0
wilson phillips,release me,wilson phillips,release me,True,30729.0,3331,100.0,100.0,100.0
all-4-one,i swear,all-4-one,i swear,True,889.0,48,100.0,100.0,100.0
a taste of honey,boogie oogie oogie,a taste of honey,boogie oogie oogie,True,351.0,44,100.0,100.0,100.0
6ix9ine,gooba,6ix9ine,gooba,True,277.0,38,100.0,100.0,100.0
6ix9ine,fefe,6ix9ine,fefe,True,275.0,37,100.0,100.0,100.0
will smith,wild wild west,will smith,wild wild west,True,30669.0,3325,100.0,100.0,100.0
will smith,gettin' jiggy wit it,will smith,gettin' jiggy wit it,True,30665.0,3322,100.0,100.0,100.0
wild cherry,play that funky music,wild cherry,play that funky music,True,30657.0,3318,100.0,100.0,100.0
wilbert harrison,kansas city,wilbert harrison,kansas city,True,30649.0,3317,100.0,100.0,100.0
whitney houston,where do broken hearts go,whitney houston,where do broken hearts go,True,30638.0,3316,100.0,100.0,100.0
whitney houston,so emotional,whitney houston,so emotional,True,30633.0,3315,100.0,100.0,100.0
whitney houston,saving all my love for you,whitney houston,saving all my love for you,True,30632.0,3314,100.0,100.0,100.0
whitney houston,my love is your love,whitney houston,my love is your love,True,30627.0,3313,100.0,100.0,100.0
whitney houston,it's not right but it's okay,whitney houston,it's not right but it's okay,True,30622.0,3312,100.0,100.0,100.0
whitney houston,i'm your baby tonight,whitney houston,i'm your baby tonight,True,30621.0,3311,100.0,100.0,100.0
whitney houston,i will always love you,whitney houston,i will always love you,True,30619.0,3310,100.0,100.0,100.0
whitney houston,i wanna dance with somebody (who loves me),whitney houston,i wanna dance with somebody (who loves me),True,30618.0,3309,100.0,100.0,100.0
whitney houston,i have nothing,whitney houston,i have nothing,True,30615.0,3308,100.0,100.0,100.0
whitney houston,how will i know,whitney houston,how will i know,True,30613.0,3307,100.0,100.0,100.0
whitney houston,greatest love of all,whitney houston,greatest love of all,True,30611.0,3306,100.0,100.0,100.0
whitney houston,didn't we almost have it all,whitney houston,didn't we almost have it all,True,30609.0,3304,100.0,100.0,100.0
whitney houston,all the man that i need,whitney houston,all the man that i need,True,30608.0,3303,100.0,100.0,100.0
wham!,wake me up before you go-go,wham!,wake me up before you go-go,True,30580.0,3300,100.0,100.0,100.0
wham!,everything she wants,wham!,everything she wants,True,30575.0,3299,100.0,100.0,100.0
abba,dancing queen,abba,dancing queen,True,424.0,53,100.0,100.0,100.0
aaliyah,back & forth,aaliyah,back & forth,True,389.0,51,100.0,100.0,100.0
a-ha,take on me,a-ha,take on me,True,381.0,50,100.0,100.0,100.0
warrant,heaven,warrant,heaven,True,30474.0,3288,100.0,100.0,100.0
warrant,cherry pie,warrant,cherry pie,True,30472.0,3287,100.0,100.0,100.0
war,low rider,war,low rider,True,30461.0,3285,100.0,100.0,100.0
walk the moon,shut up and dance,walk the moon,shut up and dance,True,30419.0,3282,100.0,100.0,100.0
waka flocka flame,no hands,waka flocka flame,no hands,True,30400.0,3281,100.0,100.0,100.0
village people,y.m.c.a.,village people,y.m.c.a.,True,30356.0,3279,100.0,100.0,100.0
vertical horizon,everything you want,vertical horizon,everything you want,True,30308.0,3278,100.0,100.0,100.0
vanilla ice,ice ice baby,vanilla ice,ice ice baby,True,30285.0,3276,100.0,100.0,100.0
vanessa williams,save the best for last,vanessa williams,save the best for last,True,30271.0,3274,100.0,100.0,100.0
vanessa carlton,a thousand miles,vanessa carlton,a thousand miles,True,30260.0,3273,100.0,100.0,100.0
van morrison,brown eyed girl,van morrison,brown eyed girl,True,30243.0,3271,100.0,100.0,100.0
van halen,why can't this be love,van halen,why can't this be love,True,30236.0,3268,100.0,100.0,100.0
adele,someone like you,adele,someone like you,True,539.0,81,100.0,100.0,100.0
adele,set fire to the rain,adele,set fire to the rain,True,537.0,80,100.0,100.0,100.0
adele,send my love (to your new lover),adele,send my love (to your new lover),True,536.0,79,100.0,100.0,100.0
adele,rolling in the deep,adele,rolling in the deep,True,534.0,78,100.0,100.0,100.0
adele,hello,adele,hello,True,527.0,77,100.0,100.0,100.0
adele,easy on me,adele,easy on me,True,526.0,76,100.0,100.0,100.0
adam lambert,whataya want from me,adam lambert,whataya want from me,True,499.0,74,100.0,100.0,100.0
ace of base,the sign,ace of base,the sign,True,477.0,71,100.0,100.0,100.0
usher,you make me wanna...,usher,you make me wanna...,True,30195.0,3265,100.0,100.0,100.0
usher,yeah!,usher,yeah!,True,30194.0,3264,100.0,100.0,100.0
usher,u remind me,usher,u remind me,True,30193.0,3263,100.0,100.0,100.0
usher,u got it bad,usher,u got it bad,True,30192.0,3262,100.0,100.0,100.0
usher,omg,usher,omg,True,30183.0,3261,100.0,100.0,100.0
usher,love in this club,usher,love in this club,True,30175.0,3258,100.0,100.0,100.0
usher,dj got us fallin' in love,usher,dj got us fallin' in love,True,30167.0,3257,100.0,100.0,100.0
usher,confessions part ii,usher,confessions part ii,True,30166.0,3256,100.0,100.0,100.0
