spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
billy joel,piano man,billy joel,piano man,True,539.0,301,100.0,100.0,100.0
pearl jam,even flow,pearl jam,even flow,True,1638.0,2305,100.0,100.0,100.0
kanye west,power,kanye west,power,True,831.0,1605,100.0,100.0,100.0
charli xcx,boom clap,charli xcx,boom clap,True,1266.0,556,100.0,100.0,100.0
kanye west,stronger,kanye west,stronger,True,108.0,1607,100.0,100.0,100.0
billy idol,rebel yell,billy idol,rebel yell,True,803.0,296,100.0,100.0,100.0
kanye west,through the wire,kanye west,through the wire,True,1326.0,1608,100.0,100.0,100.0
new order,blue monday,new order,blue monday,True,1014.0,2171,100.0,100.0,100.0
tlc,no scrubs,tlc,no scrubs,True,297.0,3140,100.0,100.0,100.0
bill withers,ain't no sunshine,bill withers,ain't no sunshine,True,1236.0,291,100.0,100.0,100.0
pearl jam,black,pearl jam,black,True,1650.0,2303,100.0,100.0,100.0
spice girls,wannabe,spice girls,wannabe,True,1002.0,2743,100.0,100.0,100.0
kings of leon,sex on fire,kings of leon,sex on fire,True,7.0,1671,100.0,100.0,100.0
mayhem,freezing moon,mayhem,freezing moon,True,887.0,2010,100.0,100.0,100.0
ice cube,it was a good day,ice cube,it was a good day,True,819.0,1282,100.0,100.0,100.0
katy perry,dark horse,katy perry,dark horse,True,323.0,1616,100.0,100.0,100.0
katy perry,e.t.,katy perry,e.t.,True,156.0,1617,100.0,100.0,100.0
katy perry,firework,katy perry,firework,True,249.0,1618,100.0,100.0,100.0
katy perry,hot n cold,katy perry,hot n cold,True,230.0,1619,100.0,100.0,100.0
katy perry,i kissed a girl,katy perry,i kissed a girl,True,29.0,1620,100.0,100.0,100.0
katy perry,last friday night (t.g.i.f.),katy perry,last friday night (t.g.i.f.),True,236.0,1621,100.0,100.0,100.0
sam smith,stay with me,sam smith,stay with me,True,1254.0,2618,100.0,100.0,100.0
sam smith,i'm not the only one,sam smith,i'm not the only one,True,1253.0,2617,100.0,100.0,100.0
katy perry,teenage dream,katy perry,teenage dream,True,241.0,1624,100.0,100.0,100.0
katy perry,the one that got away,katy perry,the one that got away,True,310.0,1625,100.0,100.0,100.0
pearl jam,alive,pearl jam,alive,True,1642.0,2302,100.0,100.0,100.0
mazzy star,fade into you,mazzy star,fade into you,True,261.0,2011,100.0,100.0,100.0
black sabbath,war pigs,black sabbath,war pigs,True,1131.0,330,100.0,100.0,100.0
black sabbath,paranoid,black sabbath,paranoid,True,497.0,329,100.0,100.0,100.0
black sabbath,iron man,black sabbath,iron man,True,549.0,328,100.0,100.0,100.0
dido,thank you,dido,thank you,True,987.0,774,100.0,100.0,100.0
nelly,dilemma,nelly,dilemma,True,1342.0,2157,100.0,100.0,100.0
the white stripes,seven nation army,the white stripes,seven nation army,True,16.0,3112,100.0,100.0,100.0
hozier,take me to church,hozier,take me to church,True,80.0,1271,100.0,100.0,100.0
the cure,just like heaven,the cure,just like heaven,True,76.0,2932,100.0,100.0,100.0
nelly,hot in herre,nelly,hot in herre,True,1345.0,2160,100.0,100.0,100.0
the cranberries,zombie,the cranberries,zombie,True,31.0,2929,100.0,100.0,100.0
the cranberries,linger,the cranberries,linger,True,62.0,2927,100.0,100.0,100.0
megadeth,symphony of destruction,megadeth,symphony of destruction,True,1145.0,2022,100.0,100.0,100.0
kanye west,i wonder,kanye west,i wonder,True,822.0,1603,100.0,100.0,100.0
kansas,carry on wayward son,kansas,carry on wayward son,True,551.0,1591,100.0,100.0,100.0
kansas,dust in the wind,kansas,dust in the wind,True,1087.0,1592,100.0,100.0,100.0
kanye west,all falls down,kanye west,all falls down,True,840.0,1594,100.0,100.0,100.0
kate bush,running up that hill (a deal with god),kate bush,running up that hill (a deal with god),True,291.0,1595,100.0,100.0,100.0
kanye west,all of the lights,kanye west,all of the lights,True,826.0,1596,100.0,100.0,100.0
kanye west,can't tell me nothing,kanye west,can't tell me nothing,True,823.0,1597,100.0,100.0,100.0
soundgarden,black hole sun,soundgarden,black hole sun,True,82.0,2735,100.0,100.0,100.0
dexys midnight runners,come on eileen,dexys midnight runners,come on eileen,True,1011.0,762,100.0,100.0,100.0
kanye west,flashing lights,kanye west,flashing lights,True,820.0,1600,100.0,100.0,100.0
kanye west,gold digger,kanye west,gold digger,True,821.0,1601,100.0,100.0,100.0
billy joel,vienna,billy joel,vienna,True,988.0,305,100.0,100.0,100.0
billy joel,uptown girl,billy joel,uptown girl,True,518.0,304,100.0,100.0,100.0
kanye west,heartless,kanye west,heartless,True,223.0,1602,100.0,100.0,100.0
megadeth,peace sells,megadeth,peace sells,True,1633.0,2021,100.0,100.0,100.0
queen,don't stop me now,queen,don't stop me now,True,540.0,2412,100.0,100.0,100.0
tove lo,habits (stay high),tove lo,habits (stay high),True,1259.0,3184,100.0,100.0,100.0
marvin gaye,ain't no mountain high enough,marvin gaye,ain't no mountain high enough,True,1240.0,1985,100.0,100.0,100.0
green day,when i come around,green day,when i come around,True,748.0,1158,100.0,100.0,100.0
green day,welcome to paradise,green day,welcome to paradise,True,795.0,1157,100.0,100.0,100.0
green day,wake me up when september ends,green day,wake me up when september ends,True,266.0,1156,100.0,100.0,100.0
